,time,soc,curr,volt
337,28:11.3,74.5,5.2,350.2
338,28:25.9,74.5,6.4,349.9
339,28:39.7,74.5,4.2,350.4
340,28:53.6,74.5,3.7,350.1
341,29:07.8,74.5,4,350.6
342,29:21.6,74.5,3,350.6
343,29:35.8,74.5,3.8,350.6
344,29:49.6,74.5,3.3,350.7
345,30:03.7,74,3.8,350.3
346,30:17.6,74,3.9,350.7
347,30:32.2,74,3.3,350.7
348,42:27.2,74,2.3,351.2
349,42:41.1,74,2.1,351.2
350,42:56.2,74,2.1,351.1
351,43:10.3,74,2.8,351
352,43:24.4,74,2.7,351
353,43:38.7,74,8.9,350.5
354,43:53.7,74,19.2,350.3
355,44:07.8,74,-3,351.3
356,44:21.9,74,5.5,350.7
357,44:36.5,74,-17.8,352.1
358,44:52.4,74,34.5,349.4
359,45:09.0,74,-11.4,351.7
360,45:22.8,74,2.6,350.6
361,45:36.9,74,44.7,347.1
362,45:51.4,74,-21.9,351.4
363,46:13.7,74,1.9,350.6
364,46:13.8,74,1.9,350.6
365,46:16.0,74,-7.5,350.7
366,46:30.0,74,3.2,350.2
367,46:44.4,74,98.5,344.5
368,46:59.4,74,-2,350.1
369,47:13.1,74,3.2,350.5
370,47:27.2,74,3,350.4
371,47:42.1,74,2,350.4
372,47:56.4,74,3.7,350.3
373,48:10.4,74,56.5,347
374,48:24.5,74,97.9,344.6
375,48:38.1,73.5,-5.1,350.3
376,48:52.1,73.5,35.2,348
377,49:06.2,73.5,-21.4,351
378,49:20.0,73.5,-1.4,349.9
379,49:34.0,73.5,4.6,349.3
380,49:47.5,73.5,3.1,349.9
381,50:01.5,73.5,3.5,349.5
382,50:15.2,73.5,4.1,349.9
383,50:29.0,73.5,2.5,349.9
384,50:42.6,73.5,3,349.9
385,50:56.6,73.5,3.4,350
386,51:10.7,73.5,2.9,349.6
387,51:24.6,73.5,3.6,350
388,51:38.9,73.5,3.1,350
389,51:52.6,73.5,3.8,350
390,52:06.7,73.5,2.3,350
391,52:20.8,73.5,3.1,349.6
392,52:34.8,73.5,3.7,350
393,52:48.7,73.5,2.9,349.6
394,53:08.2,73.5,3.8,350
395,53:22.2,73.5,3.1,350
396,53:36.6,73.5,3,349.8
397,53:50.4,73.5,3.8,350
398,54:04.2,73.5,2.9,349.6
399,54:17.9,73.5,3.7,349.9
400,54:31.9,73.5,3.2,349.9
401,54:45.8,73.5,3,349.9
402,54:59.8,73.5,3.1,349.9
403,55:13.6,73.5,2.9,349.5
404,55:27.6,73.5,3.9,349.9
405,55:41.3,73.5,3.7,349.5
406,55:54.9,73.5,3.1,349.9
407,56:09.0,73.5,3.1,349.9
408,56:22.9,73.5,3.1,349.5
409,56:36.4,73.5,3.3,349.9
